Id,ActivityHour,Calories
1503960366,4/12/16 0:00,81
1503960366,4/12/16 1:00,61
1503960366,4/12/16 2:00,59
1503960366,4/12/16 3:00,47
1503960366,4/12/16 4:00,48
1503960366,4/12/16 5:00,48
1503960366,4/12/16 6:00,48
1503960366,4/12/16 7:00,47
1503960366,4/12/16 8:00,68
1503960366,4/12/16 9:00,141
1503960366,4/12/16 10:00,99
1503960366,4/12/16 11:00,76
1503960366,4/12/16 12:00,73
1503960366,4/12/16 13:00,66
1503960366,4/12/16 14:00,110
1503960366,4/12/16 15:00,151
1503960366,4/12/16 16:00,76
1503960366,4/12/16 17:00,83
1503960366,4/12/16 18:00,124
1503960366,4/12/16 19:00,104
1503960366,4/12/16 20:00,132
1503960366,4/12/16 21:00,100
1503960366,4/12/16 22:00,65
1503960366,4/12/16 23:00,81
1503960366,4/13/16 0:00,69
1503960366,4/13/16 1:00,48
1503960366,4/13/16 2:00,47
1503960366,4/13/16 3:00,53
1503960366,4/13/16 4:00,47
1503960366,4/13/16 5:00,47
1503960366,4/13/16 6:00,48
1503960366,4/13/16 7:00,59
1503960366,4/13/16 8:00,69
1503960366,4/13/16 9:00,136
1503960366,4/13/16 10:00,77
1503960366,4/13/16 11:00,84
1503960366,4/13/16 12:00,82
1503960366,4/13/16 13:00,72
1503960366,4/13/16 14:00,128
1503960366,4/13/16 15:00,79
1503960366,4/13/16 16:00,71
1503960366,4/13/16 17:00,87
1503960366,4/13/16 18:00,118
1503960366,4/13/16 19:00,73
1503960366,4/13/16 20:00,47
1503960366,4/13/16 21:00,48
1503960366,4/13/16 22:00,74
1503960366,4/13/16 23:00,135
1503960366,4/14/16 0:00,56
1503960366,4/14/16 1:00,54
1503960366,4/14/16 2:00,47
1503960366,4/14/16 3:00,47
1503960366,4/14/16 4:00,47
1503960366,4/14/16 5:00,47
1503960366,4/14/16 6:00,47
1503960366,4/14/16 7:00,47
1503960366,4/14/16 8:00,47
1503960366,4/14/16 9:00,93
1503960366,4/14/16 10:00,109
1503960366,4/14/16 11:00,64
1503960366,4/14/16 12:00,85
1503960366,4/14/16 13:00,137
1503960366,4/14/16 14:00,113
1503960366,4/14/16 15:00,66
1503960366,4/14/16 16:00,88
1503960366,4/14/16 17:00,61
1503960366,4/14/16 18:00,72
1503960366,4/14/16 19:00,55
1503960366,4/14/16 20:00,91
1503960366,4/14/16 21:00,174
1503960366,4/14/16 22:00,79
1503960366,4/14/16 23:00,50
1503960366,4/15/16 0:00,60
1503960366,4/15/16 1:00,58
1503960366,4/15/16 2:00,59
1503960366,4/15/16 3:00,47
1503960366,4/15/16 4:00,47
1503960366,4/15/16 5:00,49
1503960366,4/15/16 6:00,47
1503960366,4/15/16 7:00,49
1503960366,4/15/16 8:00,54
1503960366,4/15/16 9:00,50
1503960366,4/15/16 10:00,63
1503960366,4/15/16 11:00,84
1503960366,4/15/16 12:00,74
1503960366,4/15/16 13:00,67
1503960366,4/15/16 14:00,47
1503960366,4/15/16 15:00,47
1503960366,4/15/16 16:00,47
1503960366,4/15/16 17:00,140
1503960366,4/15/16 18:00,87
1503960366,4/15/16 19:00,97
1503960366,4/15/16 20:00,64
1503960366,4/15/16 21:00,75
1503960366,4/15/16 22:00,151
1503960366,4/15/16 23:00,182
1503960366,4/16/16 0:00,77
1503960366,4/16/16 1:00,48
1503960366,4/16/16 2:00,52
1503960366,4/16/16 3:00,48
1503960366,4/16/16 4:00,49
1503960366,4/16/16 5:00,49
1503960366,4/16/16 6:00,48
1503960366,4/16/16 7:00,54
1503960366,4/16/16 8:00,62
1503960366,4/16/16 9:00,124
1503960366,4/16/16 10:00,110
1503960366,4/16/16 11:00,147
1503960366,4/16/16 12:00,119
1503960366,4/16/16 13:00,214
1503960366,4/16/16 14:00,82
1503960366,4/16/16 15:00,51
1503960366,4/16/16 16:00,54
1503960366,4/16/16 17:00,79
1503960366,4/16/16 18:00,65
1503960366,4/16/16 19:00,67
1503960366,4/16/16 20:00,81
1503960366,4/16/16 21:00,75
1503960366,4/16/16 22:00,55
1503960366,4/16/16 23:00,56
1503960366,4/17/16 0:00,47
1503960366,4/17/16 1:00,48
1503960366,4/17/16 2:00,47
1503960366,4/17/16 3:00,49
1503960366,4/17/16 4:00,48
1503960366,4/17/16 5:00,48
1503960366,4/17/16 6:00,48
1503960366,4/17/16 7:00,48
1503960366,4/17/16 8:00,48
1503960366,4/17/16 9:00,48
1503960366,4/17/16 10:00,47
1503960366,4/17/16 11:00,63
1503960366,4/17/16 12:00,76
1503960366,4/17/16 13:00,83
1503960366,4/17/16 14:00,69
1503960366,4/17/16 15:00,73
1503960366,4/17/16 16:00,57
1503960366,4/17/16 17:00,174
1503960366,4/17/16 18:00,136
1503960366,4/17/16 19:00,95
1503960366,4/17/16 20:00,191
1503960366,4/17/16 21:00,79
1503960366,4/17/16 22:00,58
1503960366,4/17/16 23:00,50
1503960366,4/18/16 0:00,82
1503960366,4/18/16 1:00,48
1503960366,4/18/16 2:00,47
1503960366,4/18/16 3:00,47
1503960366,4/18/16 4:00,47
1503960366,4/18/16 5:00,47
1503960366,4/18/16 6:00,47
1503960366,4/18/16 7:00,47
1503960366,4/18/16 8:00,47
1503960366,4/18/16 9:00,133
1503960366,4/18/16 10:00,81
1503960366,4/18/16 11:00,73
1503960366,4/18/16 12:00,118
1503960366,4/18/16 13:00,70
1503960366,4/18/16 14:00,64
1503960366,4/18/16 15:00,80
1503960366,4/18/16 16:00,78
1503960366,4/18/16 17:00,79
1503960366,4/18/16 18:00,234
1503960366,4/18/16 19:00,157
1503960366,4/18/16 20:00,57
1503960366,4/18/16 21:00,68
1503960366,4/18/16 22:00,86
1503960366,4/18/16 23:00,83
1503960366,4/19/16 0:00,47
1503960366,4/19/16 1:00,49
1503960366,4/19/16 2:00,47
1503960366,4/19/16 3:00,50
1503960366,4/19/16 4:00,47
1503960366,4/19/16 5:00,47
1503960366,4/19/16 6:00,49
1503960366,4/19/16 7:00,75
1503960366,4/19/16 8:00,130
1503960366,4/19/16 9:00,79
1503960366,4/19/16 10:00,75
1503960366,4/19/16 11:00,72
1503960366,4/19/16 12:00,143
1503960366,4/19/16 13:00,171
1503960366,4/19/16 14:00,76
1503960366,4/19/16 15:00,72
1503960366,4/19/16 16:00,71
1503960366,4/19/16 17:00,90
1503960366,4/19/16 18:00,120
1503960366,4/19/16 19:00,93
1503960366,4/19/16 20:00,159
1503960366,4/19/16 21:00,94
1503960366,4/19/16 22:00,58
1503960366,4/19/16 23:00,120
1503960366,4/20/16 0:00,54
1503960366,4/20/16 1:00,53
1503960366,4/20/16 2:00,47
1503960366,4/20/16 3:00,48
1503960366,4/20/16 4:00,48
1503960366,4/20/16 5:00,47
1503960366,4/20/16 6:00,48
1503960366,4/20/16 7:00,51
1503960366,4/20/16 8:00,70
1503960366,4/20/16 9:00,144
1503960366,4/20/16 10:00,79
1503960366,4/20/16 11:00,58
1503960366,4/20/16 12:00,64
1503960366,4/20/16 13:00,61
1503960366,4/20/16 14:00,113
1503960366,4/20/16 15:00,97
1503960366,4/20/16 16:00,70
1503960366,4/20/16 17:00,57
1503960366,4/20/16 18:00,114
1503960366,4/20/16 19:00,117
1503960366,4/20/16 20:00,80
1503960366,4/20/16 21:00,83
1503960366,4/20/16 22:00,62
1503960366,4/20/16 23:00,120
1503960366,4/21/16 0:00,54
1503960366,4/21/16 1:00,61
1503960366,4/21/16 2:00,55
1503960366,4/21/16 3:00,48
1503960366,4/21/16 4:00,47
1503960366,4/21/16 5:00,47
1503960366,4/21/16 6:00,48
1503960366,4/21/16 7:00,52
