Id,ActivityHour,StepTotal
1503960366,4/12/16 0:00,373
1503960366,4/12/16 1:00,160
1503960366,4/12/16 2:00,151
1503960366,4/12/16 3:00,0
1503960366,4/12/16 4:00,0
1503960366,4/12/16 5:00,0
1503960366,4/12/16 6:00,0
1503960366,4/12/16 7:00,0
1503960366,4/12/16 8:00,250
1503960366,4/12/16 9:00,1864
1503960366,4/12/16 10:00,676
1503960366,4/12/16 11:00,360
1503960366,4/12/16 12:00,253
1503960366,4/12/16 13:00,221
1503960366,4/12/16 14:00,1166
1503960366,4/12/16 15:00,2063
1503960366,4/12/16 16:00,344
1503960366,4/12/16 17:00,489
1503960366,4/12/16 18:00,1386
1503960366,4/12/16 19:00,558
1503960366,4/12/16 20:00,1733
1503960366,4/12/16 21:00,684
1503960366,4/12/16 22:00,89
1503960366,4/12/16 23:00,338
1503960366,4/13/16 0:00,144
1503960366,4/13/16 1:00,0
1503960366,4/13/16 2:00,0
1503960366,4/13/16 3:00,36
1503960366,4/13/16 4:00,0
1503960366,4/13/16 5:00,0
1503960366,4/13/16 6:00,0
1503960366,4/13/16 7:00,126
1503960366,4/13/16 8:00,275
1503960366,4/13/16 9:00,1679
1503960366,4/13/16 10:00,295
1503960366,4/13/16 11:00,524
1503960366,4/13/16 12:00,486
1503960366,4/13/16 13:00,302
1503960366,4/13/16 14:00,1577
1503960366,4/13/16 15:00,493
1503960366,4/13/16 16:00,299
1503960366,4/13/16 17:00,695
1503960366,4/13/16 18:00,1343
1503960366,4/13/16 19:00,258
1503960366,4/13/16 20:00,0
1503960366,4/13/16 21:00,0
1503960366,4/13/16 22:00,437
1503960366,4/13/16 23:00,1766
1503960366,4/14/16 0:00,81
1503960366,4/14/16 1:00,58
1503960366,4/14/16 2:00,0
1503960366,4/14/16 3:00,0
1503960366,4/14/16 4:00,0
1503960366,4/14/16 5:00,0
1503960366,4/14/16 6:00,0
1503960366,4/14/16 7:00,0
1503960366,4/14/16 8:00,0
1503960366,4/14/16 9:00,902
1503960366,4/14/16 10:00,1106
1503960366,4/14/16 11:00,50
1503960366,4/14/16 12:00,501
1503960366,4/14/16 13:00,1779
1503960366,4/14/16 14:00,1228
1503960366,4/14/16 15:00,139
1503960366,4/14/16 16:00,408
1503960366,4/14/16 17:00,37
1503960366,4/14/16 18:00,322
1503960366,4/14/16 19:00,11
1503960366,4/14/16 20:00,806
1503960366,4/14/16 21:00,2670
1503960366,4/14/16 22:00,362
1503960366,4/14/16 23:00,0
1503960366,4/15/16 0:00,83
1503960366,4/15/16 1:00,75
1503960366,4/15/16 2:00,124
1503960366,4/15/16 3:00,0
1503960366,4/15/16 4:00,0
1503960366,4/15/16 5:00,26
1503960366,4/15/16 6:00,0
1503960366,4/15/16 7:00,7
1503960366,4/15/16 8:00,55
1503960366,4/15/16 9:00,21
1503960366,4/15/16 10:00,154
1503960366,4/15/16 11:00,425
1503960366,4/15/16 12:00,270
1503960366,4/15/16 13:00,373
1503960366,4/15/16 14:00,0
1503960366,4/15/16 15:00,0
1503960366,4/15/16 16:00,0
1503960366,4/15/16 17:00,1774
1503960366,4/15/16 18:00,509
1503960366,4/15/16 19:00,519
1503960366,4/15/16 20:00,77
1503960366,4/15/16 21:00,280
1503960366,4/15/16 22:00,2145
1503960366,4/15/16 23:00,2768
1503960366,4/16/16 0:00,459
1503960366,4/16/16 1:00,0
1503960366,4/16/16 2:00,63
1503960366,4/16/16 3:00,6
1503960366,4/16/16 4:00,6
1503960366,4/16/16 5:00,12
1503960366,4/16/16 6:00,0
1503960366,4/16/16 7:00,101
1503960366,4/16/16 8:00,175
1503960366,4/16/16 9:00,1181
1503960366,4/16/16 10:00,1295
